,ts_code,symbol,name,area,industry,fullname,enname,cnspell,market,exchange,curr_type,list_status,list_date,delist_date,is_hs
2384,300906.SZ,300906,日月明,江西,电器仪表,江西日月明测控科技股份有限公司,"Jiangxi Everbright Measurement and Control Technology Co.,Ltd.",rym,创业板,SZSE,CNY,L,20201105,,N
2385,300907.SZ,300907,康平科技,江苏,电气设备,康平科技(苏州)股份有限公司,"Kangping Technology (Suzhou) Co.,Ltd.",kpkj,创业板,SZSE,CNY,L,20201118,,N
2386,300908.SZ,300908,仲景食品,河南,食品,仲景食品股份有限公司,"Zhongjing Food Co., Ltd.",zjsp,创业板,SZSE,CNY,L,20201123,,N
2387,300909.SZ,300909,汇创达,深圳,元器件,深圳市汇创达科技股份有限公司,"Shenzhen Hui Chuang Da Technology Co., Ltd.",hcd,创业板,SZSE,CNY,L,20201118,,N
2388,300910.SZ,300910,瑞丰新材,河南,化工原料,新乡市瑞丰新材料股份有限公司,"Xinxiang Richful Lube Additive Co., Ltd.",rfxc,创业板,SZSE,CNY,L,20201127,,S
2389,300911.SZ,300911,亿田智能,浙江,家用电器,浙江亿田智能厨电股份有限公司,"Zhejiang Entive Smart Kitchen Appliance Co., Ltd.",ytzn,创业板,SZSE,CNY,L,20201203,,S
2390,300912.SZ,300912,凯龙高科,江苏,环境保护,凯龙高科技股份有限公司,"Kailong High Technology Co., Ltd.",klgk,创业板,SZSE,CNY,L,20201207,,N
2391,300913.SZ,300913,兆龙互连,浙江,通信设备,浙江兆龙互连科技股份有限公司,"Zhejiang Zhaolong Interconnect Technology Co.,Ltd.",zlhl,创业板,SZSE,CNY,L,20201207,,N
2392,300915.SZ,300915,海融科技,上海,乳制品,上海海融食品科技股份有限公司,"Shanghai Hi-Road Food Technology Co., Ltd.",hrkj,创业板,SZSE,CNY,L,20201202,,N
2393,300916.SZ,300916,朗特智能,深圳,元器件,深圳朗特智能控制股份有限公司,"Shenzhen Longtech Smart Control Co., Ltd.",ltzn,创业板,SZSE,CNY,L,20201202,,S
2394,300917.SZ,300917,特发服务,深圳,房产服务,深圳市特发服务股份有限公司,"Shenzhen Sdg Service Co., Ltd.",tffw,创业板,SZSE,CNY,L,20201221,,N
2395,300918.SZ,300918,南山智尚,山东,纺织,山东南山智尚科技股份有限公司,"Shandong Nanshan Fashion Sci-Tech Co.,Ltd",nszs,创业板,SZSE,CNY,L,20201222,,N
2396,300919.SZ,300919,中伟股份,贵州,电气设备,中伟新材料股份有限公司,"Cngr Advanced Material Co.,Ltd.",zwgf,创业板,SZSE,CNY,L,20201223,,S
2397,300920.SZ,300920,润阳科技,浙江,塑料,浙江润阳新材料科技股份有限公司,"Zhejiang Runyang New Material Technology Co.,Ltd.",rykj,创业板,SZSE,CNY,L,20201225,,N
2398,300921.SZ,300921,南凌科技,深圳,互联网,南凌科技股份有限公司,Nova Technology Corporation Limited.,nlkj,创业板,SZSE,CNY,L,20201222,,N
2399,300922.SZ,300922,天秦装备,河北,专用机械,秦皇岛天秦装备制造股份有限公司,"Qinhuangdao Tianqin Equipment Manufacturing Co.,Ltd.",tqzb,创业板,SZSE,CNY,L,20201225,,N
2400,300923.SZ,300923,研奥股份,吉林,运输设备,研奥电气股份有限公司,"Yeal Electric Co., Ltd.",yagf,创业板,SZSE,CNY,L,20201224,,N
2401,300925.SZ,300925,法本信息,深圳,软件服务,深圳市法本信息技术股份有限公司,"Shenzhen Farben Information Technology Co.,Ltd.",fbxx,创业板,SZSE,CNY,L,20201230,,N
2402,300926.SZ,300926,博俊科技,江苏,汽车配件,江苏博俊工业科技股份有限公司,"Jiangsu Bojun Industrial Technology Co., Ltd",bjkj,创业板,SZSE,CNY,L,20210107,,N
2403,300927.SZ,300927,江天化学,江苏,化工原料,南通江天化学股份有限公司,"Nantong Jiangtian Chemical Co.,Ltd.",jthx,创业板,SZSE,CNY,L,20210107,,N
2404,300928.SZ,300928,华安鑫创,北京,汽车配件,华安鑫创控股(北京)股份有限公司,"Haxc Holdings (Beijing) Co., Ltd.",haxc,创业板,SZSE,CNY,L,20210106,,N
2405,300929.SZ,300929,华骐环保,安徽,环境保护,安徽华骐环保科技股份有限公司,"Anhui Huaqi Environmental Protection&Technology Co.,Ltd.",hqhb,创业板,SZSE,CNY,L,20210120,,N
2406,300930.SZ,300930,屹通新材,浙江,小金属,杭州屹通新材料股份有限公司,"Hang Zhou Yitong New Materials Co.,Ltd.",ytxc,创业板,SZSE,CNY,L,20210121,,N
2407,300931.SZ,300931,通用电梯,江苏,运输设备,通用电梯股份有限公司,"General Elevator Co., Ltd.",tydt,创业板,SZSE,CNY,L,20210121,,N
2408,300932.SZ,300932,三友联众,广东,电气设备,三友联众集团股份有限公司,Sanyou Corporation Limited,sylz,创业板,SZSE,CNY,L,20210122,,N
2409,300933.SZ,300933,中辰股份,江苏,电气设备,中辰电缆股份有限公司,"Sinostar Cable Co., Ltd",zcgf,创业板,SZSE,CNY,L,20210122,,N
2410,300935.SZ,300935,盈建科,北京,软件服务,北京盈建科软件股份有限公司,"Beijing Yjk Building Software Co.,Ltd.",yjk,创业板,SZSE,CNY,L,20210120,,N
2411,300936.SZ,300936,中英科技,江苏,元器件,常州中英科技股份有限公司,"Changzhou Zhongying Science & Technology Co., Ltd",zykj,创业板,SZSE,CNY,L,20210126,,N
2412,300937.SZ,300937,药易购,四川,医药商业,四川合纵药易购医药股份有限公司,"Sichuan Hezong Medicine Easy-To-Buy Pharmaceutical Co., Ltd.",yyg,创业板,SZSE,CNY,L,20210127,,N
2413,300938.SZ,300938,信测标准,深圳,电器仪表,深圳信测标准技术服务股份有限公司,"Emtek(Shenzhen)Co., Ltd.",xcbz,创业板,SZSE,CNY,L,20210127,,N
2414,300939.SZ,300939,秋田微,深圳,元器件,深圳秋田微电子股份有限公司,"Shenzhen Av-Display Co.,Ltd.",qtw,创业板,SZSE,CNY,L,20210128,,N
2415,300940.SZ,300940,南极光,深圳,元器件,深圳市南极光电子科技股份有限公司,"Shen Zhen Australis Electronic Technology Co.,Ltd.",njg,创业板,SZSE,CNY,L,20210203,,N
2416,300941.SZ,300941,创识科技,福建,软件服务,福建创识科技股份有限公司,"Chase Science Co.,Ltd",cskj,创业板,SZSE,CNY,L,20210209,,N
2417,300942.SZ,300942,易瑞生物,深圳,医疗保健,深圳市易瑞生物技术股份有限公司,"Shenzhen Bioeasy Biotechnology Co.,Ltd.",yrsw,创业板,SZSE,CNY,L,20210209,,S
2418,300943.SZ,300943,春晖智控,浙江,机械基件,浙江春晖智能控制股份有限公司,"Zhejiang Chunhui Intelligent Control Co., Ltd.",chzk,创业板,SZSE,CNY,L,20210210,,N
2419,300945.SZ,300945,曼卡龙,浙江,服饰,曼卡龙珠宝股份有限公司,"Mclon Jewellery Co.,Ltd.",mkl,创业板,SZSE,CNY,L,20210210,,N
2420,300946.SZ,300946,恒而达,福建,机械基件,福建恒而达新材料股份有限公司,"Hengerda New Materials (Fujian) Co., Ltd.",hed,创业板,SZSE,CNY,L,20210208,,N
2421,300947.SZ,300947,德必集团,上海,房产服务,上海德必文化创意产业发展(集团)股份有限公司,Shanghai Dobe Cultural&Creative Industry Development (Group) Co. Ltd.,dbjt,创业板,SZSE,CNY,L,20210210,,N
2422,300948.SZ,300948,冠中生态,山东,环境保护,青岛冠中生态股份有限公司,"Qingdao Greensum Ecology Co.,Ltd.",gzst,创业板,SZSE,CNY,L,20210225,,N
2423,300949.SZ,300949,奥雅股份,深圳,建筑工程,深圳奥雅设计股份有限公司,Shenzhen L&A Design Holding Limited,aygf,创业板,SZSE,CNY,L,20210226,,N
2424,300950.SZ,300950,德固特,山东,专用机械,青岛德固特节能装备股份有限公司,"Doright Co.,Ltd.",dgt,创业板,SZSE,CNY,L,20210303,,N
2425,300951.SZ,300951,博硕科技,深圳,元器件,深圳市博硕科技股份有限公司,"Shenzhen Bsc Technology Co.,Ltd.",bskj,创业板,SZSE,CNY,L,20210226,,S
2426,300952.SZ,300952,恒辉安防,江苏,纺织,江苏恒辉安防股份有限公司,"Jiangsu Hanvo Safety Product Co., Ltd.",hhaf,创业板,SZSE,CNY,L,20210311,,N
2427,300953.SZ,300953,震裕科技,浙江,电气设备,宁波震裕科技股份有限公司,"Ningbo Zhenyu Technology Co., Ltd.",zykj,创业板,SZSE,CNY,L,20210318,,S
